node_id	raw_name	pretty_name	is_phenotype
1	ME_M101	M101	0
2	ME_M102	M102	0
3	ME_M103	M103	0
4	ME_M104	M104	0
5	ME_M105	M105	0
6	ME_M107	M107	0
7	ME_M109	M109	0
8	ME_M110	M110	0
9	ME_M112	M112	0
10	ME_M113	M113	0
11	ME_M114	M114	0
12	ME_M116	M116	0
13	ME_M118	M118	0
14	ME_M119	M119	0
15	ME_M124	M124	0
16	ME_M127	M127	0
17	ME_M128	M128	0
18	ME_M130	M130	0
19	ME_M135	M135	0
20	ME_M136	M136	0
21	ME_M137	M137	0
22	ME_M138	M138	0
23	ME_M140	M140	0
24	ME_M144	M144	0
25	ME_M145	M145	0
26	ME_M147	M147	0
27	ME_M148	M148	0
28	ME_M15	M15	0
29	ME_M150	M150	0
30	ME_M152	M152	0
31	ME_M153	M153	0
32	ME_M154	M154	0
33	ME_M155	M155	0
34	ME_M157	M157	0
35	ME_M160	M160	0
36	ME_M161	M161	0
37	ME_M162	M162	0
38	ME_M163	M163	0
39	ME_M164	M164	0
40	ME_M167	M167	0
41	ME_M168	M168	0
42	ME_M170	M170	0
43	ME_M171	M171	0
44	ME_M172	M172	0
45	ME_M173	M173	0
46	ME_M175	M175	0
47	ME_M177	M177	0
48	ME_M18	M18	0
49	ME_M181	M181	0
50	ME_M182	M182	0
51	ME_M185	M185	0
52	ME_M186	M186	0
53	ME_M187	M187	0
54	ME_M188	M188	0
55	ME_M19	M19	0
56	ME_M190	M190	0
57	ME_M191	M191	0
58	ME_M192	M192	0
59	ME_M196	M196	0
60	ME_M197	M197	0
61	ME_M199	M199	0
62	ME_M2	M2	0
63	ME_M200	M200	0
64	ME_M203	M203	0
65	ME_M207	M207	0
66	ME_M208	M208	0
67	ME_M210	M210	0
68	ME_M212	M212	0
69	ME_M214	M214	0
70	ME_M215	M215	0
71	ME_M216	M216	0
72	ME_M217	M217	0
73	ME_M220	M220	0
74	ME_M221	M221	0
75	ME_M223	M223	0
76	ME_M226	M226	0
77	ME_M227	M227	0
78	ME_M230	M230	0
79	ME_M232	M232	0
80	ME_M233	M233	0
81	ME_M234	M234	0
82	ME_M235	M235	0
83	ME_M236	M236	0
84	ME_M241	M241	0
85	ME_M244	M244	0
86	ME_M245	M245	0
87	ME_M247	M247	0
88	ME_M251	M251	0
89	ME_M252	M252	0
90	ME_M253	M253	0
91	ME_M257	M257	0
92	ME_M26	M26	0
93	ME_M261	M261	0
94	ME_M262	M262	0
95	ME_M267	M267	0
96	ME_M268	M268	0
97	ME_M269	M269	0
98	ME_M271	M271	0
99	ME_M272	M272	0
100	ME_M273	M273	0
101	ME_M277	M277	0
102	ME_M278	M278	0
103	ME_M279	M279	0
104	ME_M280	M280	0
105	ME_M283	M283	0
106	ME_M284	M284	0
107	ME_M288	M288	0
108	ME_M289	M289	0
109	ME_M290	M290	0
110	ME_M292	M292	0
111	ME_M295	M295	0
112	ME_M296	M296	0
113	ME_M297	M297	0
114	ME_M299	M299	0
115	ME_M306	M306	0
116	ME_M307	M307	0
117	ME_M309	M309	0
118	ME_M31	M31	0
119	ME_M312	M312	0
120	ME_M314	M314	0
121	ME_M317	M317	0
122	ME_M319	M319	0
123	ME_M32	M32	0
124	ME_M322	M322	0
125	ME_M323	M323	0
126	ME_M328	M328	0
127	ME_M33	M33	0
128	ME_M330	M330	0
129	ME_M335	M335	0
130	ME_M336	M336	0
131	ME_M337	M337	0
132	ME_M338	M338	0
133	ME_M341	M341	0
134	ME_M343	M343	0
135	ME_M346	M346	0
136	ME_M348	M348	0
137	ME_M350	M350	0
138	ME_M353	M353	0
139	ME_M356	M356	0
140	ME_M358	M358	0
141	ME_M359	M359	0
142	ME_M36	M36	0
143	ME_M360	M360	0
144	ME_M362	M362	0
145	ME_M37	M37	0
146	ME_M373	M373	0
147	ME_M375	M375	0
148	ME_M376	M376	0
149	ME_M377	M377	0
150	ME_M378	M378	0
151	ME_M379	M379	0
152	ME_M380	M380	0
153	ME_M381	M381	0
154	ME_M384	M384	0
155	ME_M387	M387	0
156	ME_M388	M388	0
157	ME_M395	M395	0
158	ME_M4	M4	0
159	ME_M40	M40	0
160	ME_M401	M401	0
161	ME_M403	M403	0
162	ME_M404	M404	0
163	ME_M405	M405	0
164	ME_M408	M408	0
165	ME_M409	M409	0
166	ME_M411	M411	0
167	ME_M412	M412	0
168	ME_M413	M413	0
169	ME_M416	M416	0
170	ME_M417	M417	0
171	ME_M418	M418	0
172	ME_M421	M421	0
173	ME_M424	M424	0
174	ME_M425	M425	0
175	ME_M427	M427	0
176	ME_M428	M428	0
177	ME_M43	M43	0
178	ME_M430	M430	0
179	ME_M431	M431	0
180	ME_M437	M437	0
181	ME_M439	M439	0
182	ME_M44	M44	0
183	ME_M440	M440	0
184	ME_M443	M443	0
185	ME_M446	M446	0
186	ME_M450	M450	0
187	ME_M452	M452	0
188	ME_M453	M453	0
189	ME_M456	M456	0
190	ME_M457	M457	0
191	ME_M459	M459	0
192	ME_M461	M461	0
193	ME_M463	M463	0
194	ME_M47	M47	0
195	ME_M470	M470	0
196	ME_M473	M473	0
197	ME_M476	M476	0
198	ME_M477	M477	0
199	ME_M488	M488	0
200	ME_M49	M49	0
201	ME_M490	M490	0
202	ME_M495	M495	0
203	ME_M496	M496	0
204	ME_M498	M498	0
205	ME_M499	M499	0
206	ME_M5	M5	0
207	ME_M500	M500	0
208	ME_M502	M502	0
209	ME_M54	M54	0
210	ME_M55	M55	0
211	ME_M57	M57	0
212	ME_M58	M58	0
213	ME_M59	M59	0
214	ME_M62	M62	0
215	ME_M63	M63	0
216	ME_M65	M65	0
217	ME_M66	M66	0
218	ME_M67	M67	0
219	ME_M69	M69	0
220	ME_M7	M7	0
221	ME_M70	M70	0
222	ME_M72	M72	0
223	ME_M76	M76	0
224	ME_M79	M79	0
225	ME_M81	M81	0
226	ME_M82	M82	0
227	ME_M84	M84	0
228	ME_M85	M85	0
229	ME_M87	M87	0
230	ME_M88	M88	0
231	ME_M89	M89	0
232	ME_M90	M90	0
233	ME_M91	M91	0
234	ME_M92	M92	0
235	ME_M93	M93	0
236	ME_M98	M98	0
237	PHENO_cogn_global	PHENO_cogn_global	1
238	PHENO_pseudotime	PHENO_pseudotime	1
