from_idx,to_idx,freq,From,To,from_type,to_type
9,8,0.842333448171572,PHENO_pseudotime,PHENO_cogn_global,phenotype,phenotype
8,9,0.842333448171572,PHENO_cogn_global,PHENO_pseudotime,phenotype,phenotype
4,2,0.809890503744768,ME_M233,ME_M161,module,module
2,4,0.809890503744768,ME_M161,ME_M233,module,module
7,2,0.740239040265919,ME_M362,ME_M161,module,module
2,7,0.740239040265919,ME_M161,ME_M362,module,module
4,6,0.725092061455172,ME_M233,ME_M302,module,module
6,4,0.725092061455172,ME_M302,ME_M233,module,module
8,2,0.65482628659877,PHENO_cogn_global,ME_M161,phenotype,module
2,8,0.65482628659877,ME_M161,PHENO_cogn_global,module,phenotype
5,7,0.649087360031329,ME_M284,ME_M362,module,module
7,5,0.649087360031329,ME_M362,ME_M284,module,module
8,6,0.613907348329501,PHENO_cogn_global,ME_M302,phenotype,module
6,8,0.613907348329501,ME_M302,PHENO_cogn_global,module,phenotype
2,9,0.604472983502708,ME_M161,PHENO_pseudotime,module,phenotype
9,2,0.604472983502708,PHENO_pseudotime,ME_M161,phenotype,module
7,4,0.577993049965032,ME_M362,ME_M233,module,module
4,7,0.577993049965032,ME_M233,ME_M362,module,module
3,1,0.570181012164594,ME_M188,ME_M154,module,module
1,3,0.570181012164594,ME_M154,ME_M188,module,module
4,8,0.563895073774227,ME_M233,PHENO_cogn_global,module,phenotype
8,4,0.563895073774227,PHENO_cogn_global,ME_M233,phenotype,module
7,3,0.553285844464589,ME_M362,ME_M188,module,module
3,7,0.553285844464589,ME_M188,ME_M362,module,module
1,6,0.552198818849203,ME_M154,ME_M302,module,module
6,1,0.552198818849203,ME_M302,ME_M154,module,module
9,4,0.535048557773307,PHENO_pseudotime,ME_M233,phenotype,module
4,9,0.535048557773307,ME_M233,PHENO_pseudotime,module,phenotype
9,6,0.529120614972101,PHENO_pseudotime,ME_M302,phenotype,module
6,9,0.529120614972101,ME_M302,PHENO_pseudotime,module,phenotype
